x,y,z,vx,vy,vz,gmag,bprp
-8.259,-0.012,-0.060,21.358,236.719,-15.554,0.616,1.204
-8.280,-0.098,0.030,21.069,196.170,-9.602,6.017,1.359
-8.345,0.087,0.051,-0.836,235.259,11.177,8.240,1.964
-8.336,-0.083,0.073,17.315,242.897,8.807,4.871,0.852
-8.326,0.085,-0.016,-13.761,233.863,-0.273,4.110,0.753
-8.235,0.066,0.067,18.738,256.509,-10.873,3.614,0.619
-8.202,-0.017,0.034,-19.883,233.853,4.431,5.776,1.049
-8.367,-0.012,-0.043,16.185,216.606,-29.889,8.416,2.042
-8.375,-0.065,0.020,-62.107,252.215,3.959,6.799,1.392
-8.233,-0.057,0.076,-22.415,177.233,-24.685,4.224,0.827
-8.370,-0.055,0.075,-31.263,234.983,-0.587,2.692,0.499
-8.336,0.091,0.052,-13.116,236.947,-6.049,5.913,1.086
-8.231,-0.067,0.003,-96.289,172.888,27.104,5.754,0.998
-8.296,0.100,0.036,24.958,196.117,-11.850,8.071,1.930
-8.276,0.097,0.020,-0.993,220.775,55.698,6.131,1.488
-8.265,-0.093,0.026,-15.200,270.674,12.492,6.043,1.111
-8.353,-0.074,-0.011,22.840,232.585,-0.758,2.943,0.569
-8.300,-0.075,-0.036,-51.660,168.544,-24.414,8.188,1.976
-8.285,-0.073,0.096,27.472,245.142,-0.956,-0.630,1.101
-8.211,0.017,-0.012,-6.669,228.827,6.017,4.739,0.818
-8.292,-0.097,0.050,-31.325,200.014,10.637,5.552,1.040
-8.302,0.063,-0.047,34.527,150.826,3.138,8.000,1.907
-8.269,0.001,0.125,-57.739,172.314,15.835,7.364,1.609
-8.269,0.095,0.031,28.553,245.907,5.127,6.451,1.242
-8.288,-0.057,-0.051,-41.637,234.815,-32.939,7.111,1.486
-8.244,0.083,0.027,-13.403,204.268,5.388,6.936,0.930
-8.223,-0.063,0.023,4.495,222.407,1.228,8.367,2.463
-8.258,0.081,-0.011,23.863,246.518,-1.784,5.431,0.971
-8.261,0.075,0.083,-7.299,178.797,22.359,8.041,2.054
-8.235,0.075,0.040,-35.640,222.929,15.692,4.561,0.862
-8.309,0.039,-0.061,37.253,227.590,-17.336,5.397,0.972
-8.305,0.089,0.074,6.498,248.280,-4.453,4.152,0.751
-8.251,0.026,-0.053,34.174,252.455,12.030,3.834,0.756
-8.206,0.001,-0.004,32.091,251.760,4.559,8.284,1.900
-8.305,0.047,-0.058,-23.178,197.890,-10.631,5.204,0.915
-8.241,-0.061,-0.023,22.508,214.277,-36.407,7.530,1.774
-8.391,-0.037,0.013,-40.088,228.100,3.316,7.878,1.751
-8.237,0.077,0.022,-21.519,233.406,9.227,3.719,0.682
-8.341,-0.060,-0.038,53.857,236.547,-2.171,5.187,0.874
-8.310,-0.097,0.050,22.899,235.530,13.288,6.995,1.482
-8.284,-0.012,-0.068,-46.455,231.579,3.832,5.141,0.856
-8.324,-0.060,-0.046,-0.191,205.526,-4.994,5.071,0.951
-8.363,-0.011,0.107,-38.250,248.930,-51.458,7.823,1.703
-8.376,-0.033,0.085,-43.261,241.187,-10.101,4.872,0.889
-8.209,-0.038,0.016,14.778,170.853,-6.408,5.103,1.017
-8.259,0.055,0.103,53.912,181.207,4.645,7.551,1.722
-8.349,-0.069,-0.024,26.007,231.491,23.541,6.982,1.432
-8.235,-0.062,0.073,-8.911,228.809,14.428,4.514,0.777
-8.274,-0.062,0.104,-10.999,234.464,-14.535,6.831,1.424
-8.314,0.044,0.118,-10.825,202.807,-6.062,8.531,2.275
-8.318,-0.060,0.108,3.805,248.642,12.542,3.167,0.562
-8.349,-0.080,-0.005,-11.099,231.851,-9.528,5.227,1.124
-8.326,0.024,-0.063,-24.102,288.428,48.241,4.649,0.830
-8.334,0.005,0.124,103.174,221.996,-0.887,4.085,0.719
-8.351,0.067,-0.023,51.691,213.770,-28.055,6.281,1.161
-8.244,-0.009,-0.052,24.547,245.323,8.685,5.329,0.889
-8.334,0.024,-0.061,-7.568,218.745,2.106,1.070,1.468
-8.215,-0.052,0.028,80.098,200.426,-29.213,6.528,1.001
-8.345,0.087,0.012,-0.925,236.614,-0.049,6.718,1.361
-8.269,-0.062,-0.042,-28.961,225.449,11.279,4.780,0.868
-8.258,0.013,0.119,9.022,220.388,1.587,8.430,1.982
-8.336,-0.068,0.094,33.048,217.759,24.944,5.111,0.945
-8.345,-0.084,-0.000,26.782,239.442,-3.835,6.557,1.265
-8.269,0.091,0.059,-40.364,216.728,12.925,3.941,0.916
-8.366,0.034,-0.036,20.192,193.400,2.354,3.021,0.657
-8.313,0.003,-0.069,-7.929,238.914,3.536,6.287,1.158
-8.295,-0.083,0.085,-60.932,194.484,-13.079,5.206,0.895
-8.276,-0.020,0.125,-0.976,233.556,-10.612,5.944,1.162
-8.373,0.053,-0.013,43.185,234.107,0.402,5.041,0.934
-8.227,0.061,0.062,2.026,196.530,17.568,6.817,1.400
-8.349,-0.023,0.114,59.680,188.736,-22.691,8.871,2.142
-8.393,0.030,0.050,76.383,209.076,-12.501,8.033,1.923
-8.386,-0.011,-0.020,-21.489,245.411,3.545,3.187,0.617
-8.285,0.063,-0.046,5.052,130.918,14.712,4.097,0.844
-8.241,0.043,0.098,16.472,240.043,1.723,7.159,1.604
-8.330,0.048,0.112,29.253,242.494,1.164,8.203,1.878
-8.252,0.022,-0.055,23.513,206.038,-15.390,8.588,2.014
-8.246,-0.081,0.053,23.702,209.902,10.677,4.410,0.842
-8.257,0.066,0.092,-12.597,218.332,1.778,6.321,1.295
-8.299,0.058,-0.051,57.901,220.097,13.200,6.615,1.314
-8.346,-0.024,-0.055,63.757,248.601,-9.562,4.446,0.772
-8.378,0.022,0.088,72.088,203.629,59.604,8.430,1.856
-8.386,0.014,0.079,15.633,228.498,-4.512,8.139,1.852
-8.391,-0.027,0.062,-23.920,195.310,-39.080,8.153,1.787
-8.244,-0.004,0.113,-33.262,206.943,9.992,5.951,1.110
-8.219,-0.008,-0.027,-25.218,189.064,-6.293,7.794,1.895
-8.254,-0.078,-0.012,15.269,229.474,-9.636,6.095,1.149
-8.251,0.079,0.067,11.921,246.913,-18.574,8.236,2.084
-8.337,-0.052,-0.047,15.827,247.613,10.719,8.041,2.195
-8.261,0.068,-0.032,2.916,231.744,1.633,8.594,2.242
-8.390,0.005,-0.014,-61.230,170.705,-26.227,5.093,0.887
-8.372,0.062,-0.000,-88.625,184.833,7.329,6.775,1.371
-8.311,-0.067,-0.043,6.244,207.925,-0.753,5.361,0.916
-8.321,-0.041,-0.058,-16.398,223.512,12.452,5.993,1.121
-8.208,0.034,0.048,77.939,232.046,26.600,6.722,1.348
-8.218,-0.047,0.062,2.209,254.091,7.573,7.536,1.671
-8.245,0.039,0.104,32.502,230.631,-8.547,5.063,0.903
-8.271,-0.092,0.005,17.337,234.898,-2.985,8.242,2.261
-8.307,0.091,0.071,-10.608,227.809,35.204,8.183,1.807
-8.304,0.047,-0.058,71.282,220.341,-3.947,3.826,0.831
-8.354,0.078,0.061,16.592,213.376,2.558,4.629,0.808
-8.326,0.005,-0.066,16.623,245.056,-4.412,7.796,1.701
-8.384,0.010,-0.023,-14.391,248.946,0.439,6.904,1.443
-8.332,0.069,-0.035,29.627,218.277,-9.336,6.341,1.292
-8.281,-0.045,-0.057,4.908,212.738,-26.308,8.069,1.736
-8.316,0.040,-0.060,14.400,262.492,-6.949,5.546,0.883
-8.331,-0.046,-0.053,21.987,200.714,-27.889,7.114,1.535
-8.262,0.070,0.090,10.303,237.542,-21.224,8.333,1.880
-8.387,0.009,-0.018,-10.697,218.358,-9.472,4.860,0.952
-8.330,0.072,0.092,-22.457,225.828,-0.207,8.159,1.981
-8.388,-0.043,0.012,-13.731,219.308,7.153,3.805,0.812
-8.324,0.075,0.091,-43.258,200.564,-9.003,5.927,1.139
-8.368,0.050,-0.022,50.399,205.153,-6.348,5.154,0.943
-8.316,-0.021,0.126,65.233,250.457,9.026,4.388,0.771
-8.385,0.036,0.067,-31.106,236.601,45.217,3.273,0.712
-8.272,-0.095,0.045,-7.278,194.975,4.467,4.453,0.779
-8.298,0.100,0.034,-51.395,180.578,57.396,8.185,1.772
-8.322,0.068,0.100,-5.511,219.423,1.856,8.184,1.921
-8.349,-0.081,0.061,-1.752,237.984,-21.121,6.616,1.347
-8.276,0.086,0.075,-54.059,244.450,2.307,5.055,0.850
-8.233,0.071,0.009,12.748,258.922,-12.406,3.067,0.592
-8.356,-0.082,0.045,30.845,248.856,10.707,6.394,1.246
-8.221,-0.010,-0.030,14.983,248.672,-1.277,6.224,1.167
-8.213,0.040,0.059,44.204,220.614,4.553,6.361,1.220
-8.226,0.035,0.087,-2.591,219.526,18.286,3.393,0.835
-8.396,-0.009,0.003,-11.538,262.314,-23.946,5.586,1.042
-8.226,-0.027,-0.032,80.097,207.691,18.909,8.471,2.021
-8.275,-0.083,-0.020,-16.720,198.255,0.853,7.335,1.626
-8.211,0.043,0.044,-84.684,242.226,-8.353,6.254,1.220
-8.367,-0.059,-0.015,15.554,235.784,0.094,5.467,1.003
-8.271,-0.018,-0.064,21.317,239.675,-9.794,8.280,2.049
-8.233,0.064,0.067,-13.676,228.175,8.538,7.113,1.544
